symbol,industry,name
NEOGEN,Chemicals,NEOGEN CHEMICALS LTD.
NESCO,Services,NESCO Ltd.
NESTLEIND,Fast Moving Consumer Goods,Nestle India Ltd.
NETWEB,Information Technology,Netweb Technologies India Ltd.
NETWORK18,Media Entertainment & Publication,Network18 Media & Investments Ltd.
NEULANDLAB,Healthcare,Neuland Laboratories Ltd.
NEWGEN,Information Technology,Newgen Software Technologies Ltd.
NFL,Chemicals,National Fertilizers Ltd.
NH,Healthcare,Narayana Hrudayalaya Ltd.
NHPC,Power,NHPC Ltd.
NIACL,Financial Services,The New India Assurance Company Ltd.
NIVABUPA,Financial Services,Niva Bupa Health Insurance Company Ltd.
NLCINDIA,Power,NLC India Ltd.
NMDC,Metals & Mining,NMDC Ltd.
NSLNISP,Metals & Mining,NMDC Steel Ltd.
NTPC,Power,NTPC Ltd.
NTPCGREEN,Power,NTPC Green Energy Ltd.
NUVAMA,Financial Services,Nuvama Wealth Management Ltd.
NUVOCO,Construction Materials,Nuvoco Vistas Corporation Ltd.
NYKAA,Consumer Services,FSN E-Commerce Ventures Ltd.
OBEROIRLTY,Realty,Oberoi Realty Ltd.
OFSS,Information Technology,Oracle Financial Services Software Ltd.
OIL,Oil Gas & Consumable Fuels,Oil India Ltd.
OLAELEC,Automobile and Auto Components,Ola Electric Mobility Ltd.
OLECTRA,Automobile and Auto Components,Olectra Greentech Ltd.
ONESOURCE,Healthcare,Onesource Specialty Pharma Ltd.
ONGC,Oil Gas & Consumable Fuels,Oil & Natural Gas Corporation Ltd.
OPTIEMUS,Telecommunication,Optiemus Infracom Ltd.
ORIENTCEM,Construction Materials,Orient Cement Ltd.
ORKLAINDIA,Fast Moving Consumer Goods,Orkla India Ltd.
OSWALPUMPS,Capital Goods,Oswal Pumps Ltd.
PAGEIND,Textiles,Page Industries Ltd.
PARADEEP,Chemicals,Paradeep Phosphates Ltd.
PARAS,Capital Goods,Paras Defence and Space Technologies Ltd.
PARKHOSPS,Healthcare,Park Medi World Ltd.
PATANJALI,Fast Moving Consumer Goods,Patanjali Foods Ltd.
PAYTM,Financial Services,One 97 Communications Ltd.
PCBL,Chemicals,PCBL Chemical Ltd.
PCJEWELLER,Consumer Durables,PC Jeweller Ltd.
PERSISTENT,Information Technology,Persistent Systems Ltd.
PETRONET,Oil Gas & Consumable Fuels,Petronet LNG Ltd.
PFC,Financial Services,Power Finance Corporation Ltd.
PFIZER,Healthcare,Pfizer Ltd.
PFOCUS,Media Entertainment & Publication,Prime Focus Ltd.
PGEL,Consumer Durables,PG Electroplast Ltd.
PGIL,Textiles,Pearl Global Industries Ltd.
PHOENIXLTD,Realty,Phoenix Mills Ltd.
PICCADIL,Fast Moving Consumer Goods,Piccadily Agro Industries Ltd.
PIDILITIND,Chemicals,Pidilite Industries Ltd.
PIIND,Chemicals,PI Industries Ltd.
PINELABS,Financial Services,Pine Labs Ltd.
PIRAMALFIN,Financial Services,Piramal Finance Ltd.
PNB,Financial Services,Punjab National Bank
PNBHOUSING,Financial Services,PNB Housing Finance Ltd.
PNCINFRA,Construction,PNC Infratech Ltd.
PNGJL,Consumer Durables,P N Gadgil Jewellers Ltd.
POLICYBZR,Financial Services,PB Fintech Ltd.
POLYCAB,Capital Goods,Polycab India Ltd.
POLYMED,Healthcare,Poly Medicure Ltd.
POONAWALLA,Financial Services,Poonawalla Fincorp Ltd.
POWERGRID,Power,Power Grid Corporation of India Ltd.
POWERINDIA,Capital Goods,Hitachi Energy India Ltd.
POWERMECH,Construction,Power Mech Projects Ltd.
PPLPHARMA,Healthcare,Piramal Pharma Ltd.
PRAJIND,Capital Goods,Praj Industries Ltd.
PREMIERENE,Capital Goods,Premier Energies Ltd.
PRESTIGE,Realty,Prestige Estates Projects Ltd.
PRICOLLTD,Automobile and Auto Components,Pricol Ltd.
PRIVISCL,Chemicals,Privi Speciality Chemicals Ltd.
PRSMJOHNSN,Construction Materials,Prism Johnson Ltd.
PRUDENT,Financial Services,Prudent Corporate Advisory Services Ltd.
PTC,Power,PTC India Ltd.
PTCIL,Capital Goods,PTC Industries Ltd.
PURVA,Realty,Puravankara Ltd.
PVRINOX,Media Entertainment & Publication,PVR INOX Ltd.
PWL,Consumer Services,Physicswallah Ltd.
QPOWER,Capital Goods,QUALITY POWER ELECTRICAL EQUIPMENTS Ltd.
QUESS,Services,Quess Corp Ltd.
RADICO,Fast Moving Consumer Goods,Radico Khaitan Ltd
RAILTEL,Telecommunication,Railtel Corporation Of India Ltd.
RAIN,Chemicals,Rain Industries Ltd
RAINBOW,Healthcare,Rainbow Childrens Medicare Ltd.
RALLIS,Chemicals,Rallis India Ltd.
RAMCOCEM,Construction Materials,The Ramco Cements Ltd.
RATEGAIN,Information Technology,Rategain Travel Technologies Ltd.
RATNAMANI,Capital Goods,Ratnamani Metals & Tubes Ltd.
RAYMONDLSL,Textiles,Raymond Lifestyle Ltd.
RBA,Consumer Services,Restaurant Brands Asia Ltd.
RBLBANK,Financial Services,RBL Bank Ltd.
RCF,Chemicals,Rashtriya Chemicals & Fertilizers Ltd.
RECLTD,Financial Services,REC Ltd.
REDINGTON,Services,Redington Ltd.
REDTAPE,Consumer Durables,Redtape Ltd.
REFEX,Utilities,Refex Industries Ltd.
RELAXO,Consumer Durables,Relaxo Footwears Ltd.
RELIANCE,Oil Gas & Consumable Fuels,Reliance Industries Ltd.
RELIGARE,Financial Services,Religare Enterprises Ltd.
RENUKA,Fast Moving Consumer Goods,Shree Renuka Sugars Ltd.
RHIM,Capital Goods,RHI MAGNESITA INDIA LTD.
RITES,Construction,RITES Ltd.
RKFORGE,Automobile and Auto Components,Ramkrishna Forgings Ltd.
ROUTE,Telecommunication,Route Mobile Ltd.
RPOWER,Power,Reliance Power Ltd.
RRKABEL,Capital Goods,R R Kabel Ltd.
RTNINDIA,Consumer Services,RattanIndia Enterprises Ltd.
RTNPOWER,Power,RattanIndia Power Ltd.
RUBICON,Healthcare,Rubicon Research Ltd.
RVNL,Construction,Rail Vikas Nigam Ltd.
SAATVIKGL,Capital Goods,Saatvik Green Energy Ltd.
SAFARI,Consumer Durables,Safari Industries (India) Ltd.
SAGILITY,Information Technology,Sagility Ltd.
SAIL,Metals & Mining,Steel Authority of India Ltd.
SAILIFE,Healthcare,Sai Life Sciences Ltd.
SAMHI,Consumer Services,Samhi Hotels Ltd.
SAMMAANCAP,Financial Services,Sammaan Capital Ltd.
SANDUMA,Metals & Mining,Sandur Manganese & Iron Ores Ltd.
SANOFICONR,Healthcare,Sanofi Consumer Healthcare India Ltd.
SANSERA,Automobile and Auto Components,Sansera Engineering Ltd.
SAPPHIRE,Consumer Services,Sapphire Foods India Ltd.
SARDAEN,Metals & Mining,Sarda Energy and Minerals Ltd.
SAREGAMA,Media Entertainment & Publication,Saregama India Ltd
SBFC,Financial Services,SBFC Finance Ltd.
SBICARD,Financial Services,SBI Cards and Payment Services Ltd.
SBILIFE,Financial Services,SBI Life Insurance Company Ltd.
SBIN,Financial Services,State Bank of India
SCHAEFFLER,Automobile and Auto Components,Schaeffler India Ltd.
SCHNEIDER,Capital Goods,Schneider Electric Infrastructure Ltd.
SCI,Services,Shipping Corporation of India Ltd.
SENCO,Consumer Durables,Senco Gold Ltd.
SFL,Consumer Durables,Sheela Foam Ltd.
SHAILY,Consumer Durables,Shaily Engineering Plastics Ltd.
SHAKTIPUMP,Capital Goods,Shakti Pumps (India) Ltd.
SHARDACROP,Chemicals,Sharda Cropchem Ltd.
SHAREINDIA,Financial Services,Share India Securities Ltd.
SHILPAMED,Healthcare,Shilpa Medicare Ltd.
SHREECEM,Construction Materials,Shree Cement Ltd.
SHRIPISTON,Automobile and Auto Components,SPR Auto Technologies Ltd.
SHRIRAMFIN,Financial Services,Shriram Finance Ltd.
SHYAMMETL,Capital Goods,Shyam Metalics and Energy Ltd.
SIEMENS,Capital Goods,Siemens Ltd.
SIGNATURE,Realty,Signatureglobal (India) Ltd.
SJVN,Power,SJVN Ltd.
SKFINDIA,Automobile and Auto Components,SKF India Ltd.
SKFINDUS,Capital Goods,SKF India (Industrial) Ltd.
SKIPPER,Capital Goods,Skipper Ltd.
SKYGOLD,Consumer Durables,SKY GOLD AND DIAMONDS Ltd.
SMARTWORKS,Services,Smartworks Coworking Spaces Ltd.
SMLMAH,Capital Goods,SML Mahindra Ltd.
SOBHA,Realty,Sobha Ltd.
SOLARINDS,Chemicals,Solar Industries India Ltd.
SONACOMS,Automobile and Auto Components,Sona BLW Precision Forgings Ltd.
SONATSOFTW,Information Technology,Sonata Software Ltd.
SOUTHBANK,Financial Services,South Indian Bank Ltd.
SPARC,Healthcare,Sun Pharma Advanced Research Company Ltd.
SPLPETRO,Chemicals,Supreme Petrochem Ltd.
SRF,Chemicals,SRF Ltd.
STAR,Healthcare,Strides Pharma Science Ltd.
STARCEMENT,Construction Materials,Star Cement Ltd.
STARHEALTH,Financial Services,Star Health and Allied Insurance Company Ltd.
STLTECH,Telecommunication,Sterlite Technologies Ltd.
STYL,Financial Services,Seshaasai Technologies Ltd.
STYRENIX,Chemicals,Styrenix Performance Materials Ltd.
SUBROS,Capital Goods,Subros Ltd.
SUDARSCHEM,Chemicals,Sudarshan Chemical Industries Ltd.
SUDEEPPHRM,Chemicals,Sudeep Pharma Ltd.
SUMICHEM,Chemicals,Sumitomo Chemical India Ltd.
SUNDARMFIN,Financial Services,Sundaram Finance Ltd.
SUNPHARMA,Healthcare,Sun Pharmaceutical Industries Ltd.
SUNTECK,Realty,Sunteck Realty Ltd.
SUNTV,Media Entertainment & Publication,Sun TV Network Ltd.
SUPREMEIND,Capital Goods,Supreme Industries Ltd.
SUPRIYA,Healthcare,Supriya Lifescience Ltd.
SURYAROSNI,Capital Goods,Surya Roshni Ltd.
SUZLON,Capital Goods,Suzlon Energy Ltd.
SWANCORP,Chemicals,Swan Corp Ltd.
SWIGGY,Consumer Services,Swiggy Ltd.
SWSOLAR,Construction,Sterling and Wilson Renewable Energy Ltd.
SYNGENE,Healthcare,Syngene International Ltd.
SYRMA,Capital Goods,Syrma SGS Technology Ltd.
TANLA,Information Technology,Tanla Platforms Ltd.
TARC,Realty,TARC Ltd.
TARIL,Capital Goods,Transformers And Rectifiers (India) Ltd.
TATACAP,Financial Services,Tata Capital Ltd.
TATACHEM,Chemicals,Tata Chemicals Ltd.
TATACOMM,Telecommunication,Tata Communications Ltd.
TATACONSUM,Fast Moving Consumer Goods,Tata Consumer Products Ltd.
TATAELXSI,Information Technology,Tata Elxsi Ltd.
TATAINVEST,Financial Services,Tata Investment Corporation Ltd.
TATAPOWER,Power,Tata Power Co. Ltd.
TATASTEEL,Metals & Mining,Tata Steel Ltd.
TATATECH,Information Technology,Tata Technologies Ltd.
TBOTEK,Consumer Services,TBO Tek Ltd.
TCS,Information Technology,Tata Consultancy Services Ltd.
TDPOWERSYS,Capital Goods,TD Power Systems Ltd.
TECHM,Information Technology,Tech Mahindra Ltd.
TECHNOE,Construction,Techno Electric & Engineering Company Ltd.
TEGA,Capital Goods,Tega Industries Ltd.
TEJASNET,Telecommunication,Tejas Networks Ltd.
TENNIND,Automobile and Auto Components,Tenneco Clean Air India Ltd.
TEXRAIL,Capital Goods,Texmaco Rail & Eng. Ltd.
THANGAMAYL,Consumer Durables,Thangamayil Jewellery Ltd.
THELEELA,Consumer Services,Leela Palaces Hotels & Resorts Ltd.
THERMAX,Capital Goods,Thermax Ltd.
THOMASCOOK,Consumer Services,Thomas Cook (India) Ltd.
THYROCARE,Healthcare,Thyrocare Technologies Ltd.
TI,Fast Moving Consumer Goods,Tilaknagar Industries Ltd.
TIINDIA,Automobile and Auto Components,Tube Investments of India Ltd.
TIMETECHNO,Capital Goods,Time Technoplast Ltd.
TIMKEN,Capital Goods,Timken India Ltd.
TIPSMUSIC,Media Entertainment & Publication,Tips Music Ltd.
TITAGARH,Capital Goods,Titagarh Rail Systems Ltd.
TITAN,Consumer Durables,Titan Company Ltd.
TMB,Financial Services,Tamilnad Mercantile Bank Ltd.
TMCV,Capital Goods,Tata Motors Ltd.
TMPV,Automobile and Auto Components,Tata Motors Passenger Vehicles Ltd.
TORNTPHARM,Healthcare,Torrent Pharmaceuticals Ltd.
TORNTPOWER,Power,Torrent Power Ltd.
TRANSRAILL,Capital Goods,Transrail Lighting Ltd.
TRAVELFOOD,Consumer Services,Travel Food Services Ltd.
TRENT,Consumer Services,Trent Ltd.
TRIDENT,Textiles,Trident Ltd.
TRITURBINE,Capital Goods,Triveni Turbine Ltd.
TRIVENI,Fast Moving Consumer Goods,Triveni Engineering & Industries Ltd.
TSFINV,Financial Services,TSF Investments Ltd.
TTML,Telecommunication,Tata Teleservices (Maharashtra) Ltd.
TVSMOTOR,Automobile and Auto Components,TVS Motor Company Ltd.
TVSSCS,Services,TVS Supply Chain Solutions Ltd.
UBL,Fast Moving Consumer Goods,United Breweries Ltd.
UCOBANK,Financial Services,UCO Bank
UJJIVANSFB,Financial Services,Ujjivan Small Finance Bank Ltd.
ULTRACEMCO,Construction Materials,UltraTech Cement Ltd.
UNIONBANK,Financial Services,Union Bank of India
UNITDSPR,Fast Moving Consumer Goods,United Spirits Ltd.
UNOMINDA,Automobile and Auto Components,UNO Minda Ltd.
UPL,Chemicals,UPL Ltd.
URBANCO,Consumer Services,Urban Company Ltd.
USHAMART,Capital Goods,Usha Martin Ltd.
UTIAMC,Financial Services,UTI Asset Management Company Ltd.
UTLSOLAR,Capital Goods,Fujiyama Power Systems Ltd.
V2RETAIL,Consumer Services,V2 Retail Ltd.
VAIBHAVGBL,Consumer Durables,Vaibhav Global Ltd.
VARROC,Automobile and Auto Components,Varroc Engineering Ltd.
VBL,Fast Moving Consumer Goods,Varun Beverages Ltd.
VEDL,Metals & Mining,Vedanta Ltd.
VGUARD,Consumer Durables,V-Guard Industries Ltd.
VIJAYA,Healthcare,Vijaya Diagnostic Centre Ltd.
VIKRAMSOLR,Capital Goods,Vikram Solar Ltd.
VIPIND,Consumer Durables,V.I.P. Industries Ltd.
VIYASH,Healthcare,Viyash Scientific Ltd.
VMART,Consumer Services,V-Mart Retail Ltd.
VMM,Consumer Services,Vishal Mega Mart Ltd.
VOLTAMP,Capital Goods,Voltamp Transformers Ltd
VOLTAS,Consumer Durables,Voltas Ltd.
VTL,Textiles,Vardhman Textiles Ltd.
WAAREEENER,Capital Goods,Waaree Energies Ltd.
WAAREERTL,Capital Goods,Waaree Renewable Technologies Ltd.
WABAG,Utilities,Va Tech Wabag Ltd.
WAKEFIT,Consumer Durables,Wakefit Innovations Ltd.
WEBELSOLAR,Capital Goods,Websol Energy System Ltd.
WELCORP,Capital Goods,Welspun Corp Ltd.
WELENT,Construction,Welspun Enterprises Ltd.
WELSPUNLIV,Textiles,Welspun Living Ltd.
WESTLIFE,Consumer Services,Westlife Foodworld Ltd.
WEWORK,Services,WeWork India Management Ltd.
WHIRLPOOL,Consumer Durables,Whirlpool of India Ltd.
WIPRO,Information Technology,Wipro Ltd.
WOCKPHARMA,Healthcare,Wockhardt Ltd.
YATHARTH,Healthcare,Yatharth Hospital & Trauma Care Services Ltd.
YESBANK,Financial Services,Yes Bank Ltd.
ZAGGLE,Information Technology,Zaggle Prepaid Ocean Services Ltd.
ZEEL,Media Entertainment & Publication,Zee Entertainment Enterprises Ltd.
ZENSARTECH,Information Technology,Zensar Technolgies Ltd.
ZENTEC,Capital Goods,Zen Technologies Ltd.
ZFCVINDIA,Automobile and Auto Components,ZF Commercial Vehicle Control Systems India Ltd.
ZYDUSLIFE,Healthcare,Zydus Lifesciences Ltd.
ZYDUSWELL,Fast Moving Consumer Goods,Zydus Wellness Ltd.
